Pohlavi,Vek,Dosazeny_stupen_vzdelani,Obecny_studijni_obor(typ_skoly),Obecny_pracovni_obor,Administrativa,Doprava,Finance,IT,Kultura_a_sport,Management,Obchod,Pravo_obrana_a_ochrana,Stavebnictvi,Veda_a_vyzkum,Vychova_a_vzdelavani,Vyroba_a_provoz,Sluzby,Zdravotnictvi,Zemedelstvi_a_lesnictvi
Muz,22,Zakladni_vzdelani,SO_Obecny_prehled_Gymnazium_nebo_ZS,PO_Informacni_technologie,0.01,0.01,0.01,0.85,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Zena,44,Vyuceni_nebo_SS_bez_maturity,SO_Ostatni_nezaraditelna_remesla,PO_Sluzby,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.85,0.01,0.01
Zena,24,Vysokoskolske_magisterske_inzenyrske,SO_Obchod_a_ekonomie,PO_Informacni_technologie,0.01,0.01,0.01,0.85,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Zena,19,Stredoskolske_s_maturitou,SO_Obchod_a_ekonomie,PO_Obchod_a_cestovni_ruch,0.01,0.01,0.01,0.01,0.01,0.01,0.85,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Zena,22,Stredoskolske_s_maturitou,SO_Zdravotnictvi_medicina_veterina,PO_Administrativa,0.85,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Muz,29,Stredoskolske_s_maturitou,SO_Zemedelstvi_a_lesnictvi,PO_Vyroba_a_provoz,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.85,0.01,0.01,0.01
Muz,49,Stredoskolske_s_maturitou,SO_Doprava_a_logistika,PO_Vychova_a_vzdelavani,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.85,0.01,0.01,0.01,0.01
Muz,48,Vyuceni_nebo_SS_bez_maturity,SO_Elektrotechnika_technika_mechanika_prumysl,PO_Vyroba_a_provoz,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.85,0.01,0.01,0.01
Zena,21,Vysokoskolske_bakalarske,SO_Filosofie_politologie_psychologie_historie_sociologie_verejnasprava_a_ostatni_hum_a_soc_obory,PO_Sluzby,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.85,0.01,0.01
Zena,22,Stredoskolske_s_maturitou,SO_Obchod_a_ekonomie,PO_Obchod_a_cestovni_ruch,0.01,0.01,0.01,0.01,0.01,0.01,0.85,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Zena,22,Vysokoskolske_magisterske_inzenyrske,SO_Sluzby_cestovni_ruch_gastronomie_hotelnictvi,PO_Obchod_a_cestovni_ruch,0.01,0.01,0.01,0.01,0.01,0.01,0.85,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
